id,location,frequency,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6JV2JOEocMgcZxYSZelKcc,church,6,81,236002,0.666,0.83,0,-5.715,1,0.0751,0.0123,0.0,0.191,0.702,113.03
2geM54lztiqrOuy0wR13Xc,church,6,57,279467,0.557,0.3,2,-11.347,1,0.0296,0.581,0.0,0.101,0.328,144.072
2UsPksUedNa1Ok0GfPOJYv,church,6,49,253947,0.666,0.558,8,-7.621,1,0.0346,0.334,0.0,0.339,0.781,76.014
6uExMEig887UmyXoFqdyOW,church,6,66,330787,0.528,0.395,1,-7.168,0,0.0288,0.416,0.0,0.794,0.0909,120.981
4OW4aTDMRZ9tzJpkZhj0gy,church,6,42,257613,0.594,0.586,5,-7.775,0,0.0313,0.261,0.0,0.101,0.66,89.922
6tzwFtw4AHo2tCexPGMzUN,church,5,57,359893,0.556,0.417,5,-9.29,1,0.0258,0.634,4.14e-06,0.936,0.296,90.054
7i2ZmmyLzE7NcFAJl30mKY,church,5,59,258627,0.411,0.611,2,-4.719,1,0.0298,0.0751,0.000221,0.0762,0.138,140.002
1dtzjTkNecIRAL4X3u4CtL,church,5,62,261693,0.519,0.76,2,-4.41,1,0.0349,0.0319,1.59e-05,0.241,0.149,130.03
1gj9poFl2mLKkguqWo5Y1i,church,5,69,296400,0.466,0.67,8,-4.701,1,0.0297,0.155,0.0,0.145,0.395,126.142
4EiKZxDgW0sbT8BZ9Gl6dC,church,5,61,343080,0.396,0.5,2,-7.746,1,0.032,0.0128,0.0,0.535,0.099,135.857
0fPwregqch9wLJj4yQH6Bk,church,5,63,499507,0.315,0.452,2,-8.387,1,0.0326,0.0315,0.0,0.686,0.112,138.909
1FTGq6feVrq4d7tiOwfSi6,church,5,0,329222,0.389,0.488,0,-7.466,1,0.0301,0.0047,0.0,0.64,0.303,144.339
7yu4816uyIqXiPvALxL44y,church,5,66,598995,0.335,0.639,3,-6.598,1,0.0369,0.265,0.0,0.107,0.381,139.912
0pNizrRmvu5S16fH6ccm0v,church,5,67,452499,0.391,0.769,11,-6.356,1,0.045,0.00346,0.0,0.911,0.14,139.874
2XEdrmqNM9ZQQ24ViuceB0,church,5,63,223427,0.595,0.894,11,-4.115,1,0.0323,0.000583,1.24e-06,0.326,0.643,101.987
4Zyf0pjpdBBIfp4oax9PG5,church,5,60,297640,0.37,0.653,6,-6.819,1,0.0263,0.011,1.05e-05,0.115,0.346,164.152
1NZWiuy0mlnsrcYL2dhKt6,church,5,62,237147,0.672,0.893,0,-3.984,1,0.0337,0.0101,0.0,0.0934,0.543,102.98
0Ck8Iw5OM5Ag8q2CjBqjrV,church,5,58,410509,0.505,0.821,11,-6.733,1,0.0476,0.027,0.0,0.935,0.25,124.015
